ts,station_id,event_type,details
760,12,start,"{'car_id': 3, 'proc_time': 64}"
766,9,finish,"{'car_id': 10, 'to': 10}"
776,46,breakdown,{'downtime': 160}
786,12,finish,"{'car_id': 3, 'to': 13}"
787,10,finish,"{'car_id': 5, 'to': 11}"
787,10,start,"{'car_id': 6, 'proc_time': 52}"
805,0,quality_fail,{'severity': 0.08142926907607786}
824,0,quality_fail,{'severity': 0.07047253546205447}
825,11,finish,"{'car_id': 4, 'to': 12}"
825,11,start,"{'car_id': 5, 'proc_time': 67}"
826,12,start,"{'car_id': 4, 'proc_time': 65}"
839,10,finish,"{'car_id': 6, 'to': 11}"
839,10,start,"{'car_id': 7, 'proc_time': 57}"
843,0,quality_fail,{'severity': 0.13231465470401896}
852,12,finish,"{'car_id': 4, 'to': 13}"
881,17,breakdown,{'downtime': 50}
892,11,finish,"{'car_id': 5, 'to': 12}"
892,11,start,"{'car_id': 6, 'proc_time': 56}"
893,12,start,"{'car_id': 5, 'proc_time': 73}"
896,10,finish,"{'car_id': 7, 'to': 11}"
896,10,start,"{'car_id': 8, 'proc_time': 55}"
908,42,breakdown,{'downtime': 88}
921,12,finish,"{'car_id': 5, 'to': 13}"
940,0,quality_fail,{'severity': 0.30132694248366243}
946,7,breakdown,{'downtime': 304}
948,11,finish,"{'car_id': 6, 'to': 12}"
948,11,start,"{'car_id': 7, 'proc_time': 64}"
949,12,start,"{'car_id': 6, 'proc_time': 70}"
951,10,finish,"{'car_id': 8, 'to': 11}"
951,10,start,"{'car_id': 9, 'proc_time': 46}"
953,0,quality_fail,{'severity': 0.27066963773261393}
987,12,quality_fail,{'severity': 0.2818564857198606}
997,10,finish,"{'car_id': 9, 'to': 11}"
997,10,start,"{'car_id': 10, 'proc_time': 41}"
1012,11,finish,"{'car_id': 7, 'to': 12}"
1012,11,start,"{'car_id': 8, 'proc_time': 57}"
1038,10,finish,"{'car_id': 10, 'to': 11}"
1039,12,quality_fail,{'severity': 0.08355683318614344}
1058,29,breakdown,{'downtime': 37}
1063,0,finish,"{'car_id': 17, 'to': 1}"
1063,0,start,"{'car_id': 18, 'proc_time': 52}"
1063,1,finish,"{'car_id': 11, 'to': 2}"
1063,1,start,"{'car_id': 12, 'proc_time': 63}"
1064,2,start,"{'car_id': 11, 'proc_time': 67}"
1069,11,finish,"{'car_id': 8, 'to': 12}"
1069,11,start,"{'car_id': 9, 'proc_time': 80}"
1095,0,finish,"{'car_id': 18, 'to': 1}"
1095,0,start,"{'car_id': 19, 'proc_time': 53}"
1095,1,finish,"{'car_id': 12, 'to': 2}"
1095,1,start,"{'car_id': 13, 'proc_time': 64}"
1095,2,finish,"{'car_id': 11, 'to': 3}"
1096,2,start,"{'car_id': 12, 'proc_time': 78}"
1096,3,start,"{'car_id': 11, 'proc_time': 80}"
1116,3,finish,"{'car_id': 11, 'to': 4}"
1117,4,start,"{'car_id': 11, 'proc_time': 93}"
1119,12,quality_fail,{'severity': 0.14515084657266597}
1122,12,quality_fail,{'severity': 0.10008114143503902}
1127,0,finish,"{'car_id': 19, 'to': 1}"
1127,0,start,"{'car_id': 0, 'proc_time': 45}"
1127,1,finish,"{'car_id': 13, 'to': 2}"
1127,1,start,"{'car_id': 14, 'proc_time': 61}"
