t_abs,event,station_id,to,timestamp
708,STATE_CHANGE,5,RUN,2025-09-13T10:10:54.695269
712,STATE_CHANGE,1,IDLE,2025-09-13T10:10:58.695269
713,STATE_CHANGE,2,IDLE,2025-09-13T10:10:59.695269
715,STATE_CHANGE,3,RUN,2025-09-13T10:11:01.695269
715,STATE_CHANGE,8,RUN,2025-09-13T10:11:01.695269
723,STATE_CHANGE,2,RUN,2025-09-13T10:11:09.695269
726,STATE_CHANGE,4,IDLE,2025-09-13T10:11:12.695269
740,STATE_CHANGE,3,IDLE,2025-09-13T10:11:26.695269
742,STATE_CHANGE,1,RUN,2025-09-13T10:11:28.695269
744,STATE_CHANGE,4,RUN,2025-09-13T10:11:30.695269
749,STATE_CHANGE,8,IDLE,2025-09-13T10:11:35.695269
750,STATE_CHANGE,5,IDLE,2025-09-13T10:11:36.695269
754,STATE_CHANGE,7,IDLE,2025-09-13T10:11:40.695269
758,STATE_CHANGE,6,IDLE,2025-09-13T10:11:44.695269
761,STATE_CHANGE,3,RUN,2025-09-13T10:11:47.695269
761,STATE_CHANGE,8,RUN,2025-09-13T10:11:47.695269
763,STATE_CHANGE,6,RUN,2025-09-13T10:11:49.695269
767,STATE_CHANGE,2,IDLE,2025-09-13T10:11:53.695269
767,STATE_CHANGE,4,IDLE,2025-09-13T10:11:53.695269
771,STATE_CHANGE,5,RUN,2025-09-13T10:11:57.695269
771,STATE_CHANGE,7,RUN,2025-09-13T10:11:57.695269
779,STATE_CHANGE,1,IDLE,2025-09-13T10:12:05.695269
783,STATE_CHANGE,4,RUN,2025-09-13T10:12:09.695269
784,STATE_CHANGE,2,RUN,2025-09-13T10:12:10.695269
794,STATE_CHANGE,1,RUN,2025-09-13T10:12:20.695269
798,STATE_CHANGE,5,IDLE,2025-09-13T10:12:24.695269
800,STATE_CHANGE,3,IDLE,2025-09-13T10:12:26.695269
802,STATE_CHANGE,7,IDLE,2025-09-13T10:12:28.695269
807,STATE_CHANGE,5,RUN,2025-09-13T10:12:33.695269
811,STATE_CHANGE,3,RUN,2025-09-13T10:12:37.695269
811,STATE_CHANGE,7,RUN,2025-09-13T10:12:37.695269
814,STATE_CHANGE,8,IDLE,2025-09-13T10:12:40.695269
824,STATE_CHANGE,6,IDLE,2025-09-13T10:12:50.695269
827,STATE_CHANGE,3,IDLE,2025-09-13T10:12:53.695269
828,STATE_CHANGE,4,IDLE,2025-09-13T10:12:54.695269
829,STATE_CHANGE,1,IDLE,2025-09-13T10:12:55.695269
829,STATE_CHANGE,2,IDLE,2025-09-13T10:12:55.695269
831,STATE_CHANGE,8,RUN,2025-09-13T10:12:57.695269
840,STATE_CHANGE,2,RUN,2025-09-13T10:13:06.695269
842,STATE_CHANGE,1,RUN,2025-09-13T10:13:08.695269
842,STATE_CHANGE,3,RUN,2025-09-13T10:13:08.695269
846,STATE_CHANGE,6,RUN,2025-09-13T10:13:12.695269
847,STATE_CHANGE,7,IDLE,2025-09-13T10:13:13.695269
848,STATE_CHANGE,4,RUN,2025-09-13T10:13:14.695269
853,STATE_CHANGE,5,IDLE,2025-09-13T10:13:19.695269
861,STATE_CHANGE,7,RUN,2025-09-13T10:13:27.695269
864,STATE_CHANGE,8,IDLE,2025-09-13T10:13:30.695269
869,STATE_CHANGE,5,RUN,2025-09-13T10:13:35.695269
886,STATE_CHANGE,3,IDLE,2025-09-13T10:13:52.695269
890,STATE_CHANGE,8,RUN,2025-09-13T10:13:56.695269
891,STATE_CHANGE,1,IDLE,2025-09-13T10:13:57.695269
894,STATE_CHANGE,3,RUN,2025-09-13T10:14:00.695269
894,STATE_CHANGE,4,IDLE,2025-09-13T10:14:00.695269
895,STATE_CHANGE,2,IDLE,2025-09-13T10:14:01.695269
898,STATE_CHANGE,2,RUN,2025-09-13T10:14:04.695269
898,STATE_CHANGE,7,IDLE,2025-09-13T10:14:04.695269
902,STATE_CHANGE,4,RUN,2025-09-13T10:14:08.695269
908,STATE_CHANGE,1,RUN,2025-09-13T10:14:14.695269
912,STATE_CHANGE,7,RUN,2025-09-13T10:14:18.695269
918,STATE_CHANGE,2,IDLE,2025-09-13T10:14:24.695269
919,STATE_CHANGE,6,IDLE,2025-09-13T10:14:25.695269
923,STATE_CHANGE,6,RUN,2025-09-13T10:14:29.695269
924,STATE_CHANGE,5,IDLE,2025-09-13T10:14:30.695269
926,STATE_CHANGE,2,RUN,2025-09-13T10:14:32.695269
926,STATE_CHANGE,8,IDLE,2025-09-13T10:14:32.695269
940,STATE_CHANGE,4,IDLE,2025-09-13T10:14:46.695269
940,STATE_CHANGE,5,RUN,2025-09-13T10:14:46.695269
941,STATE_CHANGE,3,IDLE,2025-09-13T10:14:47.695269
944,STATE_CHANGE,7,IDLE,2025-09-13T10:14:50.695269
944,STATE_CHANGE,8,RUN,2025-09-13T10:14:50.695269
951,STATE_CHANGE,1,IDLE,2025-09-13T10:14:57.695269
954,STATE_CHANGE,4,RUN,2025-09-13T10:15:00.695269
955,STATE_CHANGE,3,RUN,2025-09-13T10:15:01.695269
955,STATE_CHANGE,7,RUN,2025-09-13T10:15:01.695269
963,STATE_CHANGE,1,RUN,2025-09-13T10:15:09.695269
966,STATE_CHANGE,6,IDLE,2025-09-13T10:15:12.695269
972,STATE_CHANGE,4,IDLE,2025-09-13T10:15:18.695269
975,STATE_CHANGE,2,IDLE,2025-09-13T10:15:21.695269
977,STATE_CHANGE,6,RUN,2025-09-13T10:15:23.695269
978,STATE_CHANGE,8,IDLE,2025-09-13T10:15:24.695269
988,STATE_CHANGE,4,RUN,2025-09-13T10:15:34.695269
990,STATE_CHANGE,8,RUN,2025-09-13T10:15:36.695269
993,STATE_CHANGE,5,IDLE,2025-09-13T10:15:39.695269
996,STATE_CHANGE,3,IDLE,2025-09-13T10:15:42.695269
